"Note: in order of color, mega cap> large cap> mid cap> small cap> micro cap ",,,,,,,,
,,,,,,,,
Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NXTM,"NxStage Medical, Inc.",26.65," 1,764,170,490.55 ",n/a,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/nxtm
IMMU,"Immunomedics, Inc.",11.22," 1,697,418,249.78 ",n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/immu
RGEN,Repligen Corporation,38.95," 1,676,799,759.10 ",n/a,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/rgen
XLRN,Acceleron Pharma Inc.,37.02," 1,662,245,718.78 ",n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
RAD,Rite Aid Corporation,1.54," 1,638,498,379.98 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/rad
ICPT,"Intercept Pharmaceuticals, Inc.",65.07," 1,633,251,859.47 ",n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/icpt
TBPH,"Theravance Biopharma, Inc.",29.23," 1,573,435,466.56 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tbph
AIMT,"Aimmune Therapeutics, Inc.",30.31," 1,531,716,971.47 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
PAHC,Phibro Animal Health Corporation,37.8," 1,518,451,515.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pahc
MYOK,"MyoKardia, Inc.",42.1," 1,495,169,375.20 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myok
CNMD,CONMED Corporation,53.37," 1,490,311,405.17 ",n/a,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
PCRX,"Pacira Pharmaceuticals, Inc.",36.1," 1,456,329,955.00 ",n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pcrx
CBM,Cambrex Corporation,44.15," 1,445,012,987.90 ",n/a,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbm
DPLO,"Diplomat Pharmacy, Inc.",20.84," 1,423,435,311.92 ",n/a,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo
BABY,Natus Medical Incorporated,42.75," 1,417,146,084.00 ",n/a,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/baby
ENDP,Endo International plc,6.32," 1,411,205,869.76 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
MEDP,"Medpace Holdings, Inc.",37.23," 1,400,080,464.12 ",n/a,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/medp
MDXG,"MiMedx Group, Inc",12.4," 1,376,832,425.20 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdxg
IPXL,"Impax Laboratories, Inc.",18.55," 1,375,854,835.60 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ipxl
INVA,"Innoviva, Inc.",12.31," 1,346,230,758.64 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/inva
ANAB,"AnaptysBio, Inc.",64.97," 1,321,651,185.48 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
THC,Tenet Healthcare Corporation,13.08," 1,318,732,650.12 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/thc
LHCG,LHC Group,71.825," 1,313,100,412.33 ",n/a,2005,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/lhcg
QDEL,Quidel Corporation,39.05," 1,305,846,682.80 ",n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/qdel
NRCIB,National Research Corporation,53.31," 1,305,190,275.99 ",n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcib
FPRX,"Five Prime Therapeutics, Inc.",45.11," 1,303,773,821.22 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fprx
DVAX,Dynavax Technologies Corporation,21.55," 1,303,724,486.80 ",n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax
ACOR,"Acorda Therapeutics, Inc.",27.65," 1,289,891,827.35 ",n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
RDUS,"Radius Health, Inc.",29.55," 1,285,550,587.50 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdus
GKOS,Glaukos Corporation,36.01," 1,239,968,664.09 ",n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/gkos
IRTC,"iRhythm Technologies, Inc.",53.84," 1,223,778,192.88 ",n/a,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/irtc
DERM,"Dermira, Inc.",29.19," 1,214,052,236.25 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm
ATRI,Atrion Corporation,653.6118," 1,210,385,782.94 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri
OMI,"Owens & Minor, Inc.",19.54," 1,196,364,110.02 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/omi
AKCA,"Akcea Therapeutics, Inc.",17.74," 1,180,448,498.46 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
ENSG,"The Ensign Group, Inc.",22.8199," 1,160,810,112.49 ",n/a,2007,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ensg
GHDX,"Genomic Health, Inc.",32.93," 1,140,878,554.24 ",n/a,2005,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ghdx
ASND,Ascendis Pharma A/S,35.35," 1,131,946,768.75 ",32021125,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asnd
ARNA,"Arena Pharmaceuticals, Inc.",28.58," 1,120,914,602.10 ",n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ESPR,"Esperion Therapeutics, Inc.",47.63," 1,076,112,306.06 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
GLPG,Galapagos NV,97.075," 1,058,641,802.08 ",10905401,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/glpg
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,29.44," 1,057,799,749.12 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bhvn
LXRX,"Lexicon Pharmaceuticals, Inc.",9.99," 1,054,758,745.44 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lxrx
EDIT,"Editas Medicine, Inc.",24.92," 1,040,065,007.52 ",n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit
ZGNX,"Zogenix, Inc.",41.15," 1,022,210,442.00 ",n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zgnx
SGMO,"Sangamo Therapeutics, Inc.",12.075," 1,009,600,868.85 ",n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/sgmo
MNTA,"Momenta Pharmaceuticals, Inc.",13.2," 1,006,252,222.80 ",n/a,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta
MZOR,Mazor Robotics Ltd.,60.2," 995,100,702.40 ",16529912,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mzor
EPZM,"Epizyme, Inc.",14.2," 982,109,147.20 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
NHC,National HealthCare Corporation,64.03," 972,937,770.90 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nhc
ENTA,"Enanta Pharmaceuticals, Inc.",50.69," 967,691,514.27 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
RTRX,"Retrophin, Inc.",24.96," 958,101,231.36 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rtrx
ATNX,"Athenex, Inc.",16.74," 955,244,814.66 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnx
TRUP,"Trupanion, Inc.",31.75," 952,358,490.25 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/trup
AMRN,Amarin Corporation plc,3.595," 948,656,832.55 ",263882290,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
XNCR,"Xencor, Inc.",20.21," 948,381,331.40 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/xncr
LMNX,Luminex Corporation,21.49," 946,730,624.77 ",n/a,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmnx
OFIX,Orthofix International N.V.,51.89," 946,023,921.26 ",n/a,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ofix
TXMD,"TherapeuticsMD, Inc.",4.3512," 941,717,780.27 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/txmd
BEAT,"BioTelemetry, Inc.",28.3," 915,790,716.80 ",n/a,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat
NRCIA,National Research Corporation,37.35," 914,441,133.15 ",n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcia
PMC,Pharmerica Corporation,29.15," 907,116,722.05 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/pmc
MYOV,Myovant Sciences Ltd.,14.885," 905,667,405.50 ",n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myov
RGNX,REGENXBIO Inc.,28.825," 892,103,281.98 ",n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/rgnx
AMPH,"Amphastar Pharmaceuticals, Inc.",19.12," 883,266,411.04 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
RXDX,"Ignyta, Inc.",15.675," 881,780,117.63 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rxdx
OSUR,"OraSure Technologies, Inc.",14.82," 881,188,871.16 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/osur
HRTX,"Heron Therapeutics, Inc.  ",16.1," 871,633,601.30 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/hrtx
XENT,"Intersect ENT, Inc.",29.05," 847,952,738.15 ",n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xent
AKBA,"Akebia Therapeutics, Inc.",17.795," 839,059,679.06 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
CSII,"Cardiovascular Systems, Inc.",24.43," 834,321,193.86 ",n/a,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii
USPH,"U.S. Physical Therapy, Inc.",66.3," 834,136,013.10 ",n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/usph
LNTH,"Lantheus Holdings, Inc.",22.3," 832,921,747.30 ",n/a,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/lnth
EGRX,"Eagle Pharmaceuticals, Inc.",55.27," 823,523,000.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
KTWO,"K2M Group Holdings, Inc.",18.93," 819,651,451.89 ",n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
AXGN,"AxoGen, Inc.",24.6," 817,707,616.20 ",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn
ITCI,Intra-Cellular Therapies Inc.,14.82," 808,480,691.46 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/itci
RVNC,"Revance Therapeutics, Inc.",26.15," 805,921,792.35 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rvnc
BYSI,"BeyondSpring, Inc.",35," 799,573,670.00 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bysi
NTLA,"Intellia Therapeutics, Inc.",21.95," 792,083,661.20 ",n/a,2016,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/ntla
ANIK,Anika Therapeutics Inc.,53.73," 787,776,848.37 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
LJPC,La Jolla Pharmaceutical Company,35.04," 775,969,314.72 ",n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc
CRSP,CRISPR Therapeutics AG,19.025," 772,256,502.73 ",n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/crsp
LCI,Lannett Co Inc,20.7," 771,785,361.90 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lci
ABEO,Abeona Therapeutics Inc.,16.5," 769,927,273.50 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
KERX,"Keryx Biopharmaceuticals, Inc.",6.37," 756,438,971.47 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kerx
PETS,"PetMed Express, Inc.",36.6," 754,117,636.20 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/pets
CTMX,"CytomX Therapeutics, Inc.",20.24," 746,195,508.08 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx
ALDR,"Alder BioPharmaceuticals, Inc.",11," 744,849,963.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
FLXN,"Flexion Therapeutics, Inc.",23.26," 742,125,744.64 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/flxn
OPTN,"OptiNose, Inc.",20.08," 735,656,361.84 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/optn
CYTK,"Cytokinetics, Incorporated",13.625," 731,209,618.63 ",n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk
IMGN,"ImmunoGen, Inc.",5.66," 729,548,926.20 ",n/a,1989,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imgn
VNDA,Vanda Pharmaceuticals Inc.,16.15," 724,461,593.45 ",n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vnda
PTCT,"PTC Therapeutics, Inc.",17.45," 722,238,852.70 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptct
ANIP,"ANI Pharmaceuticals, Inc.",61.9," 721,090,803.40 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
OMER,Omeros Corporation,14.93," 713,711,450.64 ",n/a,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omer
AFAM,Almost Family Inc,51," 712,165,581.00 ",n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
CIVI,"Civitas Solutions, Inc.",18.7," 698,686,697.50 ",n/a,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/civi
CHRS,"Coherus BioSciences, Inc.",12," 694,983,636.00 ",n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
BOLD,"Audentes Therapeutics, Inc.",24.98," 694,048,017.04 ",n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bold
ATRC,"AtriCure, Inc.",20.18," 692,863,409.34 ",n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrc
NEO,"NeoGenomics, Inc.",8.66," 687,500,201.24 ",n/a,n/a,Health Care,Precision Instruments,http://www.nasdaq.com/symbol/neo
MGNX,"MacroGenics, Inc.",18.67," 687,027,341.55 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mgnx
SGYP,"Synergy Pharmaceuticals, Inc.",3.01," 677,114,372.41 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgyp
RYTM,"Rhythm Pharmaceuticals, Inc.",25.95," 676,619,884.80 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rytm
ZIOP,ZIOPHARM Oncology Inc,4.68," 664,385,852.52 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ziop
GTHX,"G1 Therapeutics, Inc.",23.43," 662,728,749.54 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gthx
ACRS,"Aclaris Therapeutics, Inc.",24.54," 656,114,127.18 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
KANG,"iKang Healthcare Group, Inc.",14.17," 655,829,996.64 ",46282992,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/kang
ACIU,AC Immune SA,11.3," 643,221,334.60 ",n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
DOVA,"Dova Pharmaceuticals, Inc.",24.98," 640,798,375.86 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dova
CRY,"CryoLife, Inc.",19.05," 637,366,365.60 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry
WVE,WAVE Life Sciences Ltd.,22.85," 634,320,889.90 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/wve
ANGO,"AngioDynamics, Inc.",17.26," 633,713,603.36 ",n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ADMS,"Adamas Pharmaceuticals, Inc.",28," 630,394,128.00 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
HSKA,Heska Corporation,86.74," 626,789,311.80 ",n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/hska
PRTK,"Paratek Pharmaceuticals, Inc. ",22.5," 624,626,730.00 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/prtk
VIVO,Meridian Bioscience Inc.,14.65," 618,274,199.05 ",n/a,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo
EXAC,"Exactech, Inc.",42.125," 612,064,033.75 ",n/a,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
CALA,"Calithera Biosciences, Inc.",17.1645," 608,939,491.02 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cala
LMAT,"LeMaitre Vascular, Inc.",32.01," 608,925,141.66 ",n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmat
DCPH,"Deciphera Pharmaceuticals, Inc.",19.06," 608,494,121.40 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dcph
ADRO,"Aduro Biotech, Inc.",7.975," 595,034,280.78 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AKAO,"Achaogen, Inc.",14.05," 593,377,935.25 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
MDGL,"Madrigal Pharmaceuticals, Inc.",46.93," 586,423,435.65 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdgl
NTRA,"Natera, Inc.",10.86," 578,002,094.94 ",n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ntra
TGTX,"TG Therapeutics, Inc.",8.3," 571,337,911.90 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tgtx
AXON          ,Axovant Sciences Ltd.,5.275," 567,199,254.38 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axon
RIGL,"Rigel Pharmaceuticals, Inc.",3.885," 564,133,072.23 ",n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rigl
CUTR,"Cutera, Inc.",40.25," 563,703,785.75 ",n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cutr
IOVA,"Iovance Biotherapeutics, Inc.",7.85," 561,531,608.65 ",n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/iova
VRAY,"ViewRay, Inc.",8.315," 560,882,471.24 ",n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/vray
ACHN,"Achillion Pharmaceuticals, Inc.",4.04," 552,516,884.20 ",n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
PETQ,"PetIQ, Inc.",24.99," 537,054,367.29 ",n/a,2017,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/petq
DBVT,DBV Technologies S.A.,23.22," 536,828,381.28 ",23119224,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt
KPTI,Karyopharm Therapeutics Inc.,11.28," 531,726,352.08 ",n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti
ASMB,"Assembly Biosciences, Inc.",30.25," 523,325,000.00 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb
INO,"Inovio Pharmaceuticals, Inc.",5.76," 519,708,522.24 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ino
CMTA,Clementia Pharmaceuticals Inc.,16.98," 518,341,396.32 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmta
STAA,STAAR Surgical Company,12.55," 515,915,138.80 ",n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
KND,"Kindred Healthcare, Inc.",5.9," 513,412,206.20 ",n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd
CYH,"Community Health Systems, Inc.",4.4," 504,938,178.80 ",n/a,2000,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyh
RDNT,"RadNet, Inc.",10.65," 503,386,648.80 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/rdnt
AMAG,"AMAG Pharmaceuticals, Inc.",14.05," 495,801,767.10 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
IVC,Invacare Corporation,15.05," 494,701,988.20 ",n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ivc
ELGX,"Endologix, Inc.",5.92," 493,933,163.52 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
SCMP,"Sucampo Pharmaceuticals, Inc.",10.55," 491,128,474.10 ",n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp
AUPH,Aurinia Pharmaceuticals Inc,5.82," 488,720,921.94 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/auph
QURE,uniQure N.V.,15.94," 488,235,808.06 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/qure
JNCE,"Jounce Therapeutics, Inc.",15.04," 484,200,963.52 ",n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce
TCMD,"Tactile Systems Technology, Inc.",27.255," 480,491,504.66 ",n/a,2016,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/tcmd
URGN,UroGen Pharma Ltd.,36.81," 478,879,842.24 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/urgn
ADAP,Adaptimmune Therapeutics plc,8.16," 476,861,946.24 ",58438964,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
PDLI,"PDL BioPharma, Inc.",3.085," 475,338,629.41 ",n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/pdli
ATRA,"Atara Biotherapeutics, Inc.",15.55," 475,199,058.75 ",n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/atra
SELB,"Selecta Biosciences, Inc.",21.46," 473,716,151.88 ",n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/selb
CSU,Capital Senior Living Corporation,15.4," 467,235,661.20 ",n/a,1997,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/csu
ENZ,"Enzo Biochem, Inc.",9.99," 465,013,501.02 ",n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/enz
BCRX,"BioCryst Pharmaceuticals, Inc.",4.69," 461,171,348.82 ",n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx
VYGR,"Voyager Therapeutics, Inc.",16.89," 454,403,391.66 ",n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/vygr
SNNA,"Sienna Biopharmaceuticals, Inc.",21.41," 439,573,655.71 ",n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snna
ENTL,"Entellus Medical, Inc.",17.2," 437,446,258.40 ",n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
PGNX,Progenics Pharmaceuticals Inc.,6.13," 430,754,168.24 ",n/a,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pgnx
TRXC,"TransEnterix, Inc.",2.84," 421,843,251.04 ",n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/trxc
NVTA,Invitae Corporation,8.31," 416,132,723.40 ",n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/nvta
SVA,"Sinovac Biotech, Ltd.",7.25," 413,389,642.25 ",n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sva
MCRB,"Seres Therapeutics, Inc.",9.98," 404,316,137.22 ",n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mcrb
AVDL,Avadel Pharmaceuticals plc,9.93," 402,510,583.86 ",40534802,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/avdl
CARA,"Cara Therapeutics, Inc.",12.33," 401,729,710.05 ",n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara
